periode,ihpb_nasional,ihpb_industri,ihpb_impor,ihpb_ekspor,kurs_tengah,kurs_jual,kurs_beli,year,bulan,ihpb_nasional_pct_change,ihpb_industri_pct_change,ihpb_impor_pct_change,kurs_tengah_pct_change,kurs_spread,target_ihpb_h1,target_change_pct_h1,target_direction_h1,target_ihpb_h2,target_change_pct_h2,target_direction_h2,target_ihpb_h3,target_change_pct_h3,target_direction_h3
2015-06,132.44,122.83,137.37,138.73,13282.5,13348.91,13216.09,2015,6,-2.0124297129328172,-2.7089108910891113,2.4461182787679947,1.5267420636012607,132.8199999999997,133.9,1.1023859861069223,naik,133.69,0.9438236182422229,naik,134.69,1.6988825128360012,naik
2015-07,133.9,126.95,132.15,126.07,13351.61,13418.37,13284.85,2015,7,1.102385986106924,3.3542294227794534,-3.799956322341125,0.5203086768304166,133.52000000000044,133.69,-0.15683345780433752,stabil,134.69,0.5899925317400986,naik,135.34,1.0754294249439864,naik
2015-08,133.69,126.8,132.14,128.53,13690.0,13758.45,13621.55,2015,8,-0.15683345780433955,-0.11815675462780728,-0.007567158531984752,2.5344509014268546,136.90000000000146,134.69,0.7479991024010771,naik,135.34,1.2341985189617817,naik,137.74,3.029396364724371,naik
2015-09,134.69,128.13,133.0,129.24,14343.95,14415.67,14272.23,2015,9,0.7479991024010868,1.0488958990536368,0.650824882700185,4.776844411979542,143.4400000000005,135.34,0.4825896503081192,stabil,137.74,2.2644591283688555,naik,138.54,2.8584156210557534,naik
2015-10,135.34,127.88,133.56,131.35,13761.0,13829.8,13692.2,2015,10,0.4825896503081184,-0.1951143370014785,0.42105263157894424,-4.064082766601951,137.59999999999854,137.74,1.7733116595241656,naik,138.54,2.3644155460322067,naik,139.01,2.7116890793556876,naik
2015-11,137.74,128.53,134.75,134.89,13612.1,13680.16,13544.03,2015,11,1.7733116595241682,0.5082890209571422,0.8909853249475796,-1.0820434561441772,136.1299999999992,138.54,0.5808044141135348,naik,139.01,0.922027007405243,naik,140.88,2.279657325395663,naik
2015-12,138.54,129.5,134.97,132.28,13813.52,13882.59,13744.45,2015,12,0.5808044141135449,0.7546876215669407,0.16326530612245094,1.4797129024911593,138.13999999999942,139.01,0.3392522015302432,stabil,140.88,1.6890428757037705,naik,140.52,1.429190125595509,naik
2016-01,139.01,129.66,135.0,131.78,13840.71,13909.92,13771.51,2016,1,0.33925220153023794,0.12355212355212863,0.02222716159145932,0.19683614314092157,138.40999999999985,140.88,1.3452269620890618,naik,140.52,1.0862527875692536,naik,140.05,0.748147615279491,naik
2016-02,140.88,130.14,135.1,133.38,13499.95,13567.45,13432.45,2016,2,1.3452269620890522,0.3701989819527851,0.07407407407407085,-2.462012425663118,135.0,140.52,-0.25553662691651424,stabil,140.05,-0.5891538898353096,turun,141.39,0.3620102214650702,stabil
2016-03,140.52,129.18,135.4,131.19,13122.96,13188.57,13057.34,2016,3,-0.25553662691651935,-0.7376671277086078,0.22205773501111636,-2.7925288612180132,131.22999999999956,140.05,-0.33447196128664874,stabil,141.39,0.619128949615696,naik,143.34,2.0068317677198926,naik
2016-04,140.05,129.46,135.29,129.05,13147.95,13213.69,13082.21,2016,4,-0.33447196128665313,0.21675181916704922,-0.08124076809454817,0.1904295982004145,131.48000000000138,141.39,0.9568011424491074,naik,143.34,2.349161013923593,naik,138.26,-1.278114958943249,turun
2016-05,141.39,129.89,135.39,129.09,13395.45,13462.43,13328.48,2016,5,0.9568011424491152,0.3321489263092614,0.0739152930741227,1.8824227351031952,133.95000000000073,143.34,1.3791640144281896,naik,138.26,-2.2137350590565075,turun,142.7,0.9265153122568799,naik
2016-06,143.34,130.55,133.52,128.73,13334.27,13400.94,13267.6,2016,6,1.3791640144281914,0.5081222572946631,-1.3811950661053118,-0.4567222452399933,133.34000000000015,138.26,-3.5440212083159004,turun,142.7,-0.44649086089020146,stabil,141.71,-1.1371564113297024,turun
